time,X,Y,Z,Vx,Vy,Vz
1.259684,292.505150,993.592435,-566.847737,-61.947145,-9.491859,118.950972
1.269682,291.886976,993.497225,-565.660716,-61.718972,-9.554856,118.513424
1.279679,291.271075,993.401386,-564.478053,-61.492466,-9.617749,118.079075
1.289677,290.657431,993.304918,-563.299718,-61.267616,-9.680542,117.647903
1.299674,290.046027,993.207823,-562.125680,-61.044409,-9.743236,117.219883
1.309672,289.436848,993.110102,-560.955906,-60.822832,-9.805833,116.794992
1.319669,288.829875,993.011755,-559.790365,-60.602873,-9.868335,116.373206
1.329667,288.225094,992.912784,-558.629025,-60.384521,-9.930745,115.954501
1.339664,287.622487,992.813190,-557.471854,-60.167762,-9.993064,115.538854
1.349662,287.022038,992.712973,-556.318822,-59.952577,-10.055293,115.126227
1.359659,286.423733,992.612134,-555.169902,-59.738893,-10.117423,114.716481
1.369657,285.827558,992.510675,-554.025065,-59.526669,-10.179451,114.309536
1.379654,285.233496,992.408597,-552.884280,-59.315875,-10.241376,113.905333
1.389652,284.641534,992.305899,-551.747522,-59.106492,-10.303197,113.503837
1.399649,284.051658,992.202585,-550.614765,-58.898505,-10.364916,113.105022
1.409647,283.463855,992.098653,-549.485981,-58.691895,-10.426533,112.708847
1.419644,282.878110,991.994107,-548.361144,-58.486646,-10.488048,112.315284
1.429642,282.294411,991.888945,-547.240230,-58.282758,-10.549464,111.924332
1.439639,281.712743,991.783170,-546.123210,-58.080222,-10.610784,111.535975
1.449637,281.133093,991.676783,-545.010061,-57.879030,-10.672008,111.150196
1.459634,280.555448,991.569784,-543.900755,-57.679172,-10.733139,110.766976
1.469632,279.979795,991.462174,-542.795269,-57.480640,-10.794178,110.386300
1.479629,279.406119,991.353955,-541.693575,-57.283423,-10.855128,110.008148
1.489627,278.834409,991.245126,-540.595649,-57.087514,-10.915989,109.632504
1.499624,278.264652,991.135690,-539.501468,-56.892903,-10.976763,109.259352
1.509622,277.696834,991.025646,-538.411005,-56.699582,-11.037452,108.888674
1.519619,277.130943,990.914996,-537.324237,-56.507542,-11.098057,108.520454
1.529617,276.566966,990.803740,-536.241139,-56.316774,-11.158580,108.154675
